links_bchighwaycam,links_imageDisplay,links_imageThumbnail,links_replayTheDay,id,highway_number,highway_locationDescription,camName,caption,credit,orientation,latitude,longitude
https://images.drivebc.ca/bchighwaycam/pub/html/www/267.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/267.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/267.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=267,267,17,Victoria,Sayward Road - N,"Highway 17 (Patricia Bay Highway) at Sayward Road in Saanich, looking north.",,N,48.537438 ,-123.389013 
https://images.drivebc.ca/bchighwaycam/pub/html/www/268.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/268.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/268.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=268,268,1,Fraser Valley,Clearbrook - N,"Highway 1 at Clearbrook Road, looking north.",,N,49.037659 ,-122.337231 
https://images.drivebc.ca/bchighwaycam/pub/html/www/269.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/269.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/269.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=269,269,1,Fraser Valley,Clearbrook - E,"Highway 1 at Clearbrook Road, looking east.",,E,49.037659 ,-122.337231 
https://images.drivebc.ca/bchighwaycam/pub/html/www/270.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/270.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/270.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=270,270,1,Fraser Valley,Clearbrook - S,"Highway 1 at Clearbrook Road, looking south.",,S,49.037659 ,-122.337231 
https://images.drivebc.ca/bchighwaycam/pub/html/www/271.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/271.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/271.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=271,271,1,Fraser Valley,Clearbrook - W,"Highway 1 at Clearbrook Road, looking west.",,W,49.037659 ,-122.337231 
https://images.drivebc.ca/bchighwaycam/pub/html/www/272.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/272.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/272.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=272,272,1,Vancouver Island,South Shawnigan Lake Road - W,"Highway 1 at South Shawnigan Lake Road, looking west.",,W,48.561231 ,-123.569743 
https://images.drivebc.ca/bchighwaycam/pub/html/www/273.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/273.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/273.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=273,273,1,Vancouver Island,Malahat Drive - S,"Highway 1 at South Shawnigan Lake Road, looking south.",,S,48.561231 ,-123.569743 
https://images.drivebc.ca/bchighwaycam/pub/html/www/275.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/275.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/275.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=275,275,1,Ironworkers Memorial Bridge to Port Mann,Port Mann Bridge - E,"Highway 1 at Port Mann Bridge, looking eastbound.",,E,49.210134 ,-122.807465 
https://images.drivebc.ca/bchighwaycam/pub/html/www/277.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/277.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/277.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=277,277,1,Fraser Valley,Hwy 1 at 232 Street - N,"Highway 1 westbound on-ramp from 232 Street, looking north.",,N,49.134869 ,-122.579894 
https://images.drivebc.ca/bchighwaycam/pub/html/www/278.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/278.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/278.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=278,278,1,Fraser Valley,Hwy 1 at 232 Street - W,"Highway 1 at 232 Street overpass, looking west.",,W,49.134869 ,-122.579894 
https://images.drivebc.ca/bchighwaycam/pub/html/www/279.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/279.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/279.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=279,279,1,Fraser Valley,Hwy 1 at 232 Street - E,"Highway 1 at 232 Street Overpass, looking east.",,E,49.134869 ,-122.579894 
https://images.drivebc.ca/bchighwaycam/pub/html/www/280.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/280.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/280.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=280,280,1,Fraser Valley,Hwy 1 at 232 Street - S,"Highway 1 eastbound on-ramp from 232 Street, looking south.",,S,49.134869 ,-122.579894 
https://images.drivebc.ca/bchighwaycam/pub/html/www/281.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/281.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/281.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=281,281,5,Coquihalla,Othello - N,"Highway 5 about 11 km east of Hope at Othello, looking north.",,N,49.378052 ,-121.341169 
https://images.drivebc.ca/bchighwaycam/pub/html/www/282.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/282.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/282.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=282,282,5,Coquihalla,Othello - S,"Highway 5 about 11 km east of Hope at Othello, looking south.",,S,49.378052 ,-121.341169 
https://images.drivebc.ca/bchighwaycam/pub/html/www/284.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/284.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/284.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=284,284,99,Surrey to White Rock,Hwy 99 - 32 Avenue Diversion - S,"Highway 99, north of 32 Avenue Diversion, looking south.",,S,49.062946 ,-122.807643 
https://images.drivebc.ca/bchighwaycam/pub/html/www/285.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/285.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/285.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=285,285,99,Surrey to White Rock,Hwy 99 - 32 Avenue Diversion - N,"Highway 99, north of 32 Avenue Diversion, looking north.",,N,49.062946 ,-122.807643 
https://images.drivebc.ca/bchighwaycam/pub/html/www/286.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/286.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/286.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=286,286,16,,Chimdemash,"Highway 16 near Chimdemash Creek about 22 km east of Highway 16 and Highway 37 junction in Terrace, looking north.",,N,54.657221 ,-128.385560 
https://images.drivebc.ca/bchighwaycam/pub/html/www/287.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/287.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/287.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=287,287,5,Coquihalla,Comstock - N,"Highway 5 about 15km south of Merritt at Comstock Road, looking north.",,N,50.019719 ,-120.820433 
https://images.drivebc.ca/bchighwaycam/pub/html/www/288.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/288.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/288.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=288,288,97,Northern Region,Big Bam Road,"Highway 97 at Big Bam Road in South Taylor, looking south.",,S,56.130577 ,-120.670104 
https://images.drivebc.ca/bchighwaycam/pub/html/www/289.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/289.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/289.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=289,289,26,,Wells,"Highway 26 near Wells about 78 km east of Quesnel, looking west.",,W,53.098144 ,-121.580271 
https://images.drivebc.ca/bchighwaycam/pub/html/www/291.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/291.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/291.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=291,291,99,Oak Street Bridge - Richmond,Hwy 99 at Westminster Highway - N,"Highway 99 at Westminster Highway in Richmond, looking north.",,N,49.167280 ,-123.086831 
https://images.drivebc.ca/bchighwaycam/pub/html/www/292.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/292.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/292.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=292,292,1,Ironworkers Memorial Bridge to Port Mann,Port Mann Bridge - W,"Highway 1 at Port Mann Bridge, looking westbound.",,W,49.210134 ,-122.807465 
https://images.drivebc.ca/bchighwaycam/pub/html/www/293.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/293.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/293.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=293,293,13,Canada/US Border Crossing,Hwy 13 at 264 Street Diversion - N,"Highway 13 at 264 Street Diversion, south of 8 Avenue, looking north.",,N,49.011816 ,-122.492594 
https://images.drivebc.ca/bchighwaycam/pub/html/www/294.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/294.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/294.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=294,294,1,Trans Canada Highway,Miners Bluff - E,"Highway 1 between Monte Creek and Pritchard, looking east.",,E,50.645980 ,-119.905032 
https://images.drivebc.ca/bchighwaycam/pub/html/www/295.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/295.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/295.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=295,295,1,Trans Canada Highway,Miners Bluff - W,"Highway 1 between Monte Creek and Pritchard, looking west.",,W,50.645980 ,-119.905032 
https://images.drivebc.ca/bchighwaycam/pub/html/www/296.html,https://images.drivebc.ca/bchighwaycam/pub/cameras/296.jpg,https://images.drivebc.ca/bchighwaycam/pub/cameras/tn/296.jpg,https://images.drivebc.ca/ReplayTheDay/player.html?cam=296,296,1,Trans Canada Highway,Clanwilliam Railway Overpass - E,"Highway 1 about 14 km west of Revelstoke, looking east.",,E,50.966610 ,-118.361700 
